title,price,sales,seller_rating,CPU,cores,RAM,size_of_RAM_GB,size_of_HDD_GB,size_of_SSD_GB,Видеопроцессор,Операционная система,Страна производства,Гарантийный срок(мес.)
Системный блок OFFICE 120 WB 0710623 J1800/4Gb/2Tb+SSD120Gb/300W/DOS,10805₽,Купили более 400 раз,0.0,Intel Celeron,2,0,4,,,Intel HD Graphics,3,0,36
Системный блок,32900₽,0,0.0,Intel Core i5,,не заполнено,16,,250.0,не заполнено,3,1,0
Компьютер Hp Prodesk 400 g6 mt,35720₽,0,0.0,,,не заполнено,16,,500.0,не заполнено,3,не указано,0
Офисный Компьютер Robotcomp Казначей V1,39237₽,Купили более 10 раз,4.7,Intel Core i5,6,1,8,,500.0,Intel UHD Graphics 630,2,0,36
Игровой Компьютер Robotcomp М16 2.0 V1,76188₽,Купили более 200 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce GTX 1660,2,0,36
Игровой Компьютер Robotcomp M-16 V1,55625₽,Купили более 40 раз,4.7,Intel Core i5,6,1,16,,500.0,NVIDIA GeForce GTX 1650,2,0,36
Игровой Компьютер Robotcomp Анаконда 2.0 V1,128284₽,Купили более 5 раз,4.7,Intel Core i5,10,1,16,,1000.0,NVIDIA GeForce RTX 3070,2,0,36
Игровой Компьютер Robotcomp F22 Raptor V1,48386₽,Купили более 30 раз,4.7,Intel Core i3,4,1,16,,500.0,NVIDIA GeForce GTX 1650,2,0,36
Офисный Компьютер Robotcomp Босс V1,25393₽,Купили более 10 раз,4.7,Intel Core i3,4,1,8,,500.0,Intel UHD Graphics 630,2,0,36
Игровой Компьютер Robotcomp ТУ 160 V1,93863₽,Купили более 5 раз,4.7,Intel Core i5,10,1,16,,1000.0,NVIDIA GeForce RTX 3050,2,0,36
Игровой Компьютер Robotcomp ТУ 160 V3,102703₽,Купили более 5 раз,4.7,Intel Core i5,10,1,16,,1000.0,NVIDIA GeForce RTX 3050,0,0,36
Игровой Компьютер Robotcomp ТУ 160 V2,98470₽,Купили более 5 раз,4.7,Intel Core i5,10,1,16,,1000.0,NVIDIA GeForce RTX 3050,0,0,36
Игровой Компьютер Robotcomp M-16 V2,54943₽,Купили более 10 раз,4.7,Intel Core i5,6,1,16,,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой Компьютер Robotcomp M-16 V3,65926₽,Купили более 20 раз,4.7,Intel Core i5,6,1,16,,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой Компьютер Robotcomp M1620 V2,66234₽,Купили более 20 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce GTX 1660,0,0,36
Игровой Компьютер Robotcomp M1620 V3,71829₽,Купили более 50 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce GTX 1660,0,0,36
Офисный Компьютер Robotcomp Казначей V2,44743₽,Купили более 10 раз,4.7,Intel Core i5,6,1,8,,500.0,Intel UHD Graphics 630,0,0,36
Офисный Компьютер Robotcomp Казначей V3,51075₽,Купили более 10 раз,4.7,Intel Core i5,6,1,8,,500.0,Intel UHD Graphics 630,0,0,36
Мощный ПК Robotcomp Анаконда 2.0 V2,135189₽,Купили менее 5 раз,4.7,Intel Core i5,10,1,16,,1000.0,NVIDIA GeForce RTX 3070,0,0,36
Мощный ПК Robotcomp Анаконда 2.0 V3,139743₽,Купили более 5 раз,4.7,Intel Core i5,10,1,16,,1000.0,NVIDIA GeForce RTX 3070,0,0,36
Офисный Компьютер Robotcomp Босс V2,30132₽,Купили более 30 раз,4.7,Intel Core i3,4,1,8,,500.0,Intel UHD Graphics 630,0,0,36
Офисный Компьютер Robotcomp Босс V3,34317₽,Купили более 40 раз,4.7,Intel Core i3,4,1,8,,500.0,Intel UHD Graphics 630,0,0,36
Игровой Компьютер Robotcomp F22 Raptor V2,52794₽,Купили более 20 раз,4.7,Intel Core i3,4,1,16,,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой Компьютер Robotcomp F22 Raptor V3,57815₽,Купили менее 5 раз,4.7,Intel Core i3,4,1,16,,500.0,NVIDIA GeForce GTX 1650,0,0,36
Игровой Компьютер Robotcomp Аллигатор V2,32617₽,Купили более 400 раз,4.7,AMD Ryzen 5,6,1,16,,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp Аллигатор V3,34017₽,Купили более 500 раз,4.7,AMD Ryzen 5,6,1,16,,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp Аллигатор 3.0 V1,40694₽,Купили более 200 раз,4.7,AMD Ryzen 5,6,1,32,1000,500.0,AMD Radeon Vega 7,2,0,36
Игровой Компьютер Robotcomp Аллигатор 3.0 V2,40971₽,Купили более 100 раз,4.7,AMD Ryzen 5,6,1,32,1000,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp Аллигатор 3.0 V3,47827₽,Купили более 200 раз,4.7,AMD Ryzen 5,6,1,32,1000,500.0,AMD Radeon Vega 7,0,0,36
Офисный Компьютер Robotcomp Секретарь V1,21355₽,Купили более 20 раз,4.7,AMD Athlon,2,1,8,,250.0,AMD Radeon Vega 3,2,0,36
Офисный Компьютер Robotcomp Секретарь V2,29482₽,Купили менее 5 раз,4.7,AMD Athlon,2,1,8,,250.0,AMD Radeon Vega 3,0,0,36
Офисный Компьютер Robotcomp Секретарь V3,34788₽,Купили более 10 раз,4.7,AMD Athlon,2,1,8,,250.0,AMD Radeon Vega 3,0,0,36
Игровой Компьютер Robotcomp М16 3.0 V1,72672₽,Купили более 5 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce RTX 3050,2,0,36
Игровой Компьютер Robotcomp М16 3.0 V2,76363₽,Купили более 10 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce RTX 3050,0,0,36
Игровой Компьютер Robotcomp М16 3.0 V3,76249₽,Купили более 20 раз,4.7,Intel Core i5,6,1,16,,1000.0,NVIDIA GeForce RTX 3050,0,0,36
Игровой Компьютер Robotcomp Аллигатор 2.0 V1,36803₽,Купили более 100 раз,4.7,AMD Ryzen 5,6,1,16,,500.0,AMD Radeon Vega 7,2,0,36
Игровой Компьютер Robotcomp Аллигатор 2.0 V2,36918₽,Купили более 10 раз,4.7,AMD Ryzen 5,6,1,16,,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp Аллигатор 2.0 V3,36589₽,Купили более 10 раз,4.7,AMD Ryzen 5,6,1,16,,500.0,AMD Radeon Vega 7,0,0,36
Игровой Компьютер Robotcomp Анаконда,86946₽,Купили более 10 раз,4.7,Intel Core i5,10,1,16,,500.0,NVIDIA GeForce RTX 3060,2,0,36
Игровой Компьютер Robotcomp Анаконда V2,83120₽,Купили менее 5 раз,4.7,Intel Core i5,10,1,16,,500.0,NVIDIA GeForce RTX 3060,0,0,36
Игровой Компьютер Robotcomp Анаконда V3,86141₽,Купили более 30 раз,4.7,Intel Core i5,10,1,16,,500.0,NVIDIA GeForce RTX 3060,0,0,36
Компьютер Robotcomp Проектировщик V1,76942₽,Купили более 10 раз,4.7,Intel Core i7,12,1,16,1000,500.0,NVIDIA GeForce GT 1030,2,0,36
